id;name;description;resources_required
1;Licensed Clothing Engineer;Colorado;Finance
2;Soft Quality Mount;Awesome;Finance
3;feed invoice;Triple-buffered Borders magenta;People
4;Mississippi Product;Metal;Finance
5;online program Refined Granite Gloves;quantifying Baby;Finance
6;Unbranded Tugrik;models streamline;ITSystems
7;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;ITSystems
8;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;People
9;Utah zero defect;bypass e-services;Finance
10;Practical;emulation SQL;People
