id;name;description;type;status;implementation_date
1;Industrial;connect Markets Chief;IntegrationTool;Running;2019-11-11
2;interactive generating compelling;Home Loan Account;ERP;Halted;2019-11-11
3;24 hour;overriding;ConsoleApplication;Halted;2019-11-10
4;archive Fantastic Plastic Chicken;payment;NativeMobileApp;Running;2019-11-10
5;hard drive Robust Networked;Poland;ConsoleApplication;Running;2019-11-10
6;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;WindowsApplication;InProgress;2019-11-10
7;JSON;virtual deposit;ERP;InProgress;2019-11-11
8;Gorgeous Profit-focused synergies;cutting-edge ability Hat;WindowsApplication;InProgress;2019-11-11
9;Gloves sky blue Oklahoma;robust Engineer;ERP;Running;2019-11-11
10;Personal Loan Account;paradigms Home;IntegrationTool;InProgress;2019-11-10
