id;type_of_data_flow;inflow_data_system;out_flow_data_system;kind_of_integration;integrated_entities;ci_cd
1;OneWay;Markets;Glen Refined;Mandatory Assistant;Strategist;true
2;OneWay;Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;true
3;OneWay;Unbranded Plastic Chips Brand Regional;Generic B2B;olive;facilitate Persevering;false
4;TwoWay;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;true
5;TwoWay;EXE Rustic Steel Shirt drive;Ways Liaison engage;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;false
6;TwoWay;Monaco input Accounts;enhance Multi-channelled purple;Response;white SMTP;true
7;OneWay;Kyrgyz Republic transmit;solution connecting;California PNG engage;Burg;false
8;TwoWay;Rubber Industrial seamless;withdrawal Jamaica;International;Luxembourg Spurs;true
9;OneWay;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;true
10;TwoWay;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;true
