id;category;picture;picture_content_type;company_id
1;FUNCTIONALVIEW;../fake-data/blob/hipster.png;image/png;1
2;APPPORTFOLIO;../fake-data/blob/hipster.png;image/png;2
3;APPPORTFOLIO;../fake-data/blob/hipster.png;image/png;3
4;APPPORTFOLIO;../fake-data/blob/hipster.png;image/png;4
5;APPPORTFOLIO;../fake-data/blob/hipster.png;image/png;5
6;TECHNICALVIEW;../fake-data/blob/hipster.png;image/png;6
7;TECHNICALVIEW;../fake-data/blob/hipster.png;image/png;7
8;FUNCTIONALVIEW;../fake-data/blob/hipster.png;image/png;8
9;TECHNICALVIEW;../fake-data/blob/hipster.png;image/png;9
10;TECHNICALVIEW;../fake-data/blob/hipster.png;image/png;10
