id;label_type;label_data;company_id
1;deposit;../fake-data/blob/hipster.txt;1
2;Investment Account matrix Secured;../fake-data/blob/hipster.txt;2
3;Investment Account;../fake-data/blob/hipster.txt;3
4;Profound JSON;../fake-data/blob/hipster.txt;4
5;Lebanese Pound;../fake-data/blob/hipster.txt;5
6;port sexy disintermediate;../fake-data/blob/hipster.txt;6
7;CSS;../fake-data/blob/hipster.txt;7
8;Team-oriented;../fake-data/blob/hipster.txt;8
9;Kazakhstan Bedfordshire web-readiness;../fake-data/blob/hipster.txt;9
10;Jewelery;../fake-data/blob/hipster.txt;10
