id;date_of_update;amount;spend_id;expenditure_type;expenditure_sub_type;successor
1;2019-11-10;29994;11577;DEVELOPMENT;ONCLOUD;M
2;2019-11-10;45424;56166;DEVELOPMENT;ONCLOUD;K
3;2019-11-10;61748;30814;DEVELOPMENT;ONPREMISSES;M
4;2019-11-11;1124;28989;MISCELLANEOUS;ANNUAL;NOSUCCESSOR
5;2019-11-11;72940;96128;SUPPORTCOST;ONCLOUD;K
6;2019-11-10;96233;49286;INFRA;ONETIME;B
7;2019-11-10;82585;6830;SUPPORTCOST;ONPREMISSES;M
8;2019-11-10;90941;65721;ENHANCEMENT;ANNUAL;M
9;2019-11-11;81685;94164;ENHANCEMENT;ONETIME;K
10;2019-11-10;51287;36351;INFRA;ANNUAL;M
