id;technology_name;oudated_version;stable_version;latest_version;new_features;technology_type
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;SERVER
2;Albania web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;STORAGE
3;Centers;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;DATABASE
4;hardware Costa Rica Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;DATABASE
5;Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;MIDDLEWARE
6;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress;CLOUD
7;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;DATABASE
8;RSS;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;CLOUD
9;Bahamian Dollar;24/7;Gloves sky blue Oklahoma;robust Engineer;Exclusive Moroccan Dirham card;CLIENT
10;Personal Loan Account;paradigms Home;Investor Public-key;Lebanon;Designer Persistent;STORAGE
