id;type;version;description;suggestion
1;UPGRADATION;Savings Account Dam;Practical Fresh Pants;Metal deposit
2;UPGRADATION;red Chips Soap;Home Loan Account;web-readiness
3;WARNING;Gorgeous Frozen Pants;Common;Savings Account syndicate Planner
4;RISK;Factors;South Dakota envisioneer Music;Nakfa
5;UPGRADATION;Salad;Digitized invoice;convergence
6;RISK;Facilitator;Views e-enable Communications;National Awesome sky blue
7;UPGRADATION;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable
8;UPGRADATION;index orange;Jewelery;monitor
9;WARNING;Internal;Investment Account archive Fantastic Plastic Chicken;payment
10;WARNING;Frozen bus;hard drive Robust Networked;Poland
